loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.5871,4.59457540512085,0.0001,0.02,10,,,,,
0.276,3.295225143432617,0.0001,0.04,20,,,,,
0.2026,2.814030647277832,0.0001,0.06,30,,,,,
0.2019,4.292161464691162,0.0001,0.08,40,,,,,
0.1978,2.444389581680298,0.0001,0.1,50,,,,,
0.1639,2.0679962635040283,0.0001,0.12,60,,,,,
0.2006,3.0952138900756836,0.0001,0.14,70,,,,,
0.1791,2.583444356918335,0.0001,0.16,80,,,,,
0.1643,2.270699977874756,0.0001,0.18,90,,,,,
0.1045,1.91524338722229,0.0001,0.2,100,,,,,
0.1328,3.1936676502227783,0.0001,0.22,110,,,,,
0.1315,2.9361572265625,0.0001,0.24,120,,,,,
0.1323,2.640225887298584,0.0001,0.26,130,,,,,
0.1242,2.2632639408111572,0.0001,0.28,140,,,,,
0.0909,2.6375834941864014,0.0001,0.3,150,,,,,
0.1201,1.505416750907898,0.0001,0.32,160,,,,,
0.1169,2.7819361686706543,0.0001,0.34,170,,,,,
0.1353,3.0757083892822266,0.0001,0.36,180,,,,,
0.0996,1.8182995319366455,0.0001,0.38,190,,,,,
0.1129,2.584869384765625,0.0001,0.4,200,,,,,
0.137,2.744377613067627,0.0001,0.42,210,,,,,
0.1102,2.4764764308929443,0.0001,0.44,220,,,,,
0.1125,1.6285046339035034,0.0001,0.46,230,,,,,
0.102,2.1265337467193604,0.0001,0.48,240,,,,,
0.1159,2.4926953315734863,0.0001,0.5,250,,,,,
0.1254,2.894731283187866,0.0001,0.52,260,,,,,
0.1536,2.0447685718536377,0.0001,0.54,270,,,,,
0.106,1.4981499910354614,0.0001,0.56,280,,,,,
0.115,2.0816407203674316,0.0001,0.58,290,,,,,
0.0952,2.5392487049102783,0.0001,0.6,300,,,,,
0.1178,2.214416027069092,0.0001,0.62,310,,,,,
0.0997,1.7711135149002075,0.0001,0.64,320,,,,,
0.1009,1.9646049737930298,0.0001,0.66,330,,,,,
0.1105,2.387335777282715,0.0001,0.68,340,,,,,
0.1034,2.3881824016571045,0.0001,0.7,350,,,,,
