loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.1838,1.2271263599395752,0.0001,0.02,10,,,,,
0.1027,0.9836662411689758,0.0001,0.04,20,,,,,
0.1207,0.9704669117927551,0.0001,0.06,30,,,,,
0.1066,1.15992271900177,0.0001,0.08,40,,,,,
0.1245,0.6154229044914246,0.0001,0.1,50,,,,,
0.1087,0.9965148568153381,0.0001,0.12,60,,,,,
0.1288,1.2298663854599,0.0001,0.14,70,,,,,
0.1007,1.7367323637008667,0.0001,0.16,80,,,,,
0.1101,1.004122257232666,0.0001,0.18,90,,,,,
0.0739,1.1143196821212769,0.0001,0.2,100,,,,,
0.0731,0.6376090049743652,0.0001,0.22,110,,,,,
0.0666,0.9928452968597412,0.0001,0.24,120,,,,,
0.0668,0.36511990427970886,0.0001,0.26,130,,,,,
0.0778,1.161661148071289,0.0001,0.28,140,,,,,
0.0457,1.0728453397750854,0.0001,0.3,150,,,,,
0.0642,1.077283263206482,0.0001,0.32,160,,,,,
0.0914,0.9623172283172607,0.0001,0.34,170,,,,,
0.0909,1.1506434679031372,0.0001,0.36,180,,,,,
0.067,0.3182675838470459,0.0001,0.38,190,,,,,
0.0556,1.4768054485321045,0.0001,0.4,200,,,,,
0.0781,1.3536479473114014,0.0001,0.42,210,,,,,
0.0725,1.620683193206787,0.0001,0.44,220,,,,,
0.0671,0.6830437779426575,0.0001,0.46,230,,,,,
0.0581,1.153257131576538,0.0001,0.48,240,,,,,
0.061,0.9055651426315308,0.0001,0.5,250,,,,,
0.0733,1.4972193241119385,0.0001,0.52,260,,,,,
0.1018,0.7430194616317749,0.0001,0.54,270,,,,,
0.0613,0.6212455034255981,0.0001,0.56,280,,,,,
0.0622,1.1769963502883911,0.0001,0.58,290,,,,,
0.0627,1.2596862316131592,0.0001,0.6,300,,,,,
0.072,1.0881482362747192,0.0001,0.62,310,,,,,
0.0627,0.4924328327178955,0.0001,0.64,320,,,,,
0.055,1.400630235671997,0.0001,0.66,330,,,,,
0.0766,0.4480579197406769,0.0001,0.68,340,,,,,
0.0667,1.1898833513259888,0.0001,0.7,350,,,,,
0.0764,1.7295531034469604,0.0001,0.72,360,,,,,
0.0669,0.6605405807495117,0.0001,0.74,370,,,,,
0.0724,0.8944028615951538,0.0001,0.76,380,,,,,
0.077,1.0732170343399048,0.0001,0.78,390,,,,,
0.0454,0.882115364074707,0.0001,0.8,400,,,,,
0.0836,1.1963613033294678,0.0001,0.82,410,,,,,
0.0738,1.19106125831604,0.0001,0.84,420,,,,,
0.046,0.41412338614463806,0.0001,0.86,430,,,,,
0.065,0.998366117477417,0.0001,0.88,440,,,,,
0.0565,0.9346762895584106,0.0001,0.9,450,,,,,
0.0547,0.7866978049278259,0.0001,0.92,460,,,,,
0.0692,1.3248084783554077,0.0001,0.94,470,,,,,
0.0692,1.0650018453598022,0.0001,0.96,480,,,,,
0.0671,0.6068704724311829,0.0001,0.98,490,,,,,
0.0687,1.2715544700622559,0.0001,1.0,500,,,,,
0.0661,0.7638880610466003,0.0001,1.02,510,,,,,
0.0483,0.8237482905387878,0.0001,1.04,520,,,,,
0.0463,0.9036900997161865,0.0001,1.06,530,,,,,
0.0538,1.091876745223999,0.0001,1.08,540,,,,,
0.0426,0.5841867923736572,0.0001,1.1,550,,,,,
0.0404,0.8950657248497009,0.0001,1.12,560,,,,,
0.0488,1.2363442182540894,0.0001,1.1400000000000001,570,,,,,
0.0469,0.993651270866394,0.0001,1.16,580,,,,,
0.0686,0.503025472164154,0.0001,1.18,590,,,,,
0.0506,2.0045719146728516,0.0001,1.2,600,,,,,
0.0418,0.6770179271697998,0.0001,1.22,610,,,,,
0.0488,0.7064918279647827,0.0001,1.24,620,,,,,
0.0585,1.0001026391983032,0.0001,1.26,630,,,,,
0.0579,1.323373794555664,0.0001,1.28,640,,,,,
0.046,0.3464902639389038,0.0001,1.3,650,,,,,
0.0582,1.3095672130584717,0.0001,1.32,660,,,,,
0.056,1.2835146188735962,0.0001,1.34,670,,,,,
0.0438,0.6942887306213379,0.0001,1.3599999999999999,680,,,,,
